started_at,finished_at,experiment_created_at,experiment_started_at,experiment_finished_at,fault_name,fault_started_at,fault_finished_at,fault_kwargs,experiment_status,experiment_verdict
2024-02-12 06:29:52,2024-02-12 06:38:58,2024-02-12 06:27:28,2024-02-12 06:27:28,2024-02-12 06:30:40,pod-delete,2024-02-12 06:28:15,2024-02-12 06:30:20,"{'appNamespace': 'onlineboutique', 'appLabel': 'shippingservice', 'appKind': 'deployment'}",Completed,Pass
2024-02-12 08:46:48,2024-02-12 08:54:02,2024-02-12 08:44:23,2024-02-12 08:44:23,2024-02-12 08:51:45,node-cpu-hog,2024-02-12 08:45:09,2024-02-12 08:51:14,"{'appNamespace': 'onlineboutique', 'appNode': 'node3.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 237, 'experimentRampTime': 20}",Completed,Pass
2024-02-12 10:11:54,2024-02-12 10:18:12,2024-02-12 10:10:32,2024-02-12 10:10:33,2024-02-12 10:15:19,pod-cpu-hog,2024-02-12 10:10:54,2024-02-12 10:14:59,"{'appNamespace': 'onlineboutique', 'appLabel': 'currencyservice', 'appKind': 'deployment', 'appContainer': 'server', 'experimentDuration': 142, 'experimentRampTime': 9}",Completed,Pass
2024-02-12 12:26:28,2024-02-12 12:34:52,2024-02-12 12:25:12,2024-02-12 12:25:12,2024-02-12 12:32:22,node-cpu-hog,2024-02-12 12:25:57,2024-02-12 12:32:02,"{'appNamespace': 'onlineboutique', 'appNode': 'node3.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 262, 'experimentRampTime': 5}",Completed,Pass
2024-02-12 14:38:45,2024-02-12 14:46:54,2024-02-12 14:38:45,2024-02-12 14:38:45,2024-02-12 14:46:54,node-drain,2024-02-12 14:39:30,2024-02-12 14:45:35,"{'appNamespace': 'onlineboutique', 'appNode': 'node1.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'appLabel': 'chaos=target', 'experimentDuration': 240, 'experimentRampTime': 9}",completed,Pass
2024-02-12 16:09:04,2024-02-12 16:13:16,2024-02-12 16:06:51,2024-02-12 16:06:51,2024-02-12 16:14:09,node-cpu-hog,2024-02-12 16:07:37,2024-02-12 16:13:49,"{'appNamespace': 'onlineboutique', 'appNode': 'node1.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 226, 'experimentRampTime': 18}",Completed,Pass
2024-02-12 18:57:46,2024-02-12 19:04:04,2024-02-12 18:55:25,2024-02-12 18:55:25,2024-02-12 19:01:35,node-memory-hog,2024-02-12 18:56:10,2024-02-12 19:01:15,"{'appNamespace': 'onlineboutique', 'appNode': 'node3.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 173, 'experimentRampTime': 17}",Completed,Pass
2024-02-12 20:39:26,2024-02-12 20:55:46,2024-02-12 20:36:42,2024-02-12 20:36:43,2024-02-12 20:52:53,pod-autoscaler,2024-02-12 20:37:28,2024-02-12 20:52:33,"{'appNamespace': 'onlineboutique', 'appLabel': 'currencyservice', 'appKind': 'deployment', 'appReplicaCount': 3, 'experimentDuration': 864}",Completed,Pass
2024-02-12 22:34:46,2024-02-12 22:42:00,2024-02-12 22:33:10,2024-02-12 22:33:10,2024-02-12 22:39:21,node-memory-hog,2024-02-12 22:33:56,2024-02-12 22:39:01,"{'appNamespace': 'onlineboutique', 'appNode': 'node3.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 247, 'experimentRampTime': 3}",Completed,Pass
2024-02-13 00:28:00,2024-02-13 00:37:20,2024-02-13 00:26:58,2024-02-13 00:26:59,2024-02-13 00:34:10,node-cpu-hog,2024-02-13 00:27:45,2024-02-13 00:33:50,"{'appNamespace': 'onlineboutique', 'appNode': 'node4.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 277, 'experimentRampTime': 3}",Completed,Pass
2024-02-13 09:38:02,2024-02-13 09:42:56,2024-02-13 09:34:40,2024-02-13 09:34:40,2024-02-13 09:42:08,node-drain,,,"{'appNamespace': 'onlineboutique', 'appNode': 'node4.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'appLabel': 'chaos=target', 'experimentDuration': 274, 'experimentRampTime': 10}",Error,Fail
